note_id,title,year,depth,pdf_included
P001,Open X-Embodiment / RT-X,2023,M,yes
P002,DROID,2024,M,yes
P003,BridgeData V2,2023,M,yes
P004,RH20T,2023,M,yes
P005,RH20T-P,2025,A,no
P006,AgiBot World / Colosseo,2025–2026,M,no
P007,AXIS,2026,D,yes
P008,ABC-130K,2026,A,no
P009,LeRobot Dataset Format,2024–2026,M,no
P010,Robo-DM,2025,A,no
P011,ABot-M0 / UniACT Data Pipeline,2026,D,no
P012,CalibAll / Camera-Frame Action Unification,2025,M,no
P013,UniAct,2025,A,no
P014,UMI: Universal Manipulation Interface,2024,D,yes
P015,DexUMI,2025,M,no
P016,TacUMI,2025,A,no
P017,ActiveUMI,2025,A,no
P018,RealDexUMI,2026,M,no
P019,RoboTurk,2018,M,yes
P020,Cobalt,2026,M,no
P021,YUBI,2025,A,no
P022,RoboMimic: What Matters in Learning from Offline Human Demonstrations,2021,M,yes
P023,Data Scaling Laws in Imitation Learning for Robotic Manipulation,2025,M,yes
P024,What Matters in Large-Scale Robot Datasets / MimicLabs,2025,M,no
P025,High-Precision Imitation Learning Scaling Law,2026,A,no
P026,EgoMimic,2024,M,yes
P027,HOP: Human-to-Robot Pretraining with Hand-Object Interaction,2024,M,yes
P028,EgoDex,2025,M,no
P029,ACE-Ego-0,2026,D,no
P030,VidBot,2025,M,no
P031,Human2Robot,2024,M,no
P032,ZeroMimic,2025,A,no
P033,Data Editing from In-the-Wild Human Videos,2025,A,no
P034,RoboWheel,2026,D,no
P035,VISTA,2026,M,no
P036,H-RDT,2025,M,no
P037,HARP-VLA,2026,A,no
P038,iFlyBot-VLA,2025,A,no
P039,DreamDojo,2026,M,no
P040,LDA-1B / EI-30K,2026,D,no
P041,EgoWAM,2026,M,no
P042,AoE: Always-on Egocentric Data Engine,2026,A,no
P043,UniT / Unified Physical Language,2026,M,no
P044,PhysBrain,2025,A,no
P045,PEEK,2025,M,no
P046,Data Quality in Imitation Learning,2023,M,yes
P047,SSDF: Self-Supervised Data Filtering,2023,M,yes
P048,"S2I: Segment, Select, and Improve",2024,M,no
P049,Re-Mix,2024,D,yes
P050,Robot Data Curation with Mutual Information Estimators,2025,D,yes
P051,Curating Demonstrations Using Online Experience / Demo-SCORE,2025,D,yes
P052,CUPID,2025,D,no
P053,DataMIL,2025,D,yes
P054,QoQ: Quality over Quantity,2026,D,yes
P055,ATHENA,2026,D,yes
P056,Scizor,2025,D,yes
P057,RINSE / Smoothness-Driven Demonstration Curation,2026,M,yes
P058,PSD Metric for Demonstration Quality,2026,M,no
P059,GiB: Segment-Level Filtering of Non-Expert Demonstrations,2026,A,no
P060,ReTVL,2026,D,yes
P061,What Demonstration Curation Metrics Do to Your Policy,2026,D,yes
P062,Data Assessment for Embodied Intelligence,2025,D,yes
P063,Geometric Entropy for Robot Data,2026,M,no
P064,FAKTUAL,2026,A,no
P065,Quality over Quantity: Contact-Based Curation,2025,M,no
P066,SIEVE,2026,D,yes
P067,FrameSkip,2026,M,no
P068,HELP / VLAC-CUT,2026,M,no
P069,Collage,2025,M,no
P070,Towards Balanced Behavior Cloning from Imbalanced Demonstrations,2025,M,no
P071,Shortcut Learning in Generalist Robot Policies: Dataset Diversity and Fragmentation,2025,M,no
P072,How to Train Your Robots? Demonstration Collection Factors,2025,A,no
P073,Audit of Robot Data Curation Metrics,2026,M,no
P074,Phase-Localized Curation Does Not Help,2026,A,no
P075,DIAL: Data-Efficient Instruction Augmentation with VLMs,2024,M,yes
P076,NILS,2024,D,yes
P077,STEER,2025,M,no
P078,Autonomous Improvement of Instruction Following,2024,D,no
P079,CAST,2025,M,no
P080,SPARC,2026,D,no
P081,DeMiAn,2026,M,no
P082,ATLAS,2026,M,no
P083,ViFailback,2026,M,no
P084,Guardian,2026,M,no
P085,InSight,2026,D,no
P086,Learning from Hindsight for Robot Rollouts,2026,M,no
P087,Embodied Chain-of-Thought Corpus,2026,M,no
P088,RoboInter,2026,M,no
P089,MotIF,2024,M,no
P090,PEEK Automatic Annotation Pipeline,2025,M,no
P091,MolmoAct2 / BimanualYAM Curation,2026,A,no
P092,Qwen-RobotManip Behavior Annotation,2026,D,no
P093,LingBot-VLA 2.0 Automated Segmentation,2026,D,no
P094,Gemini Robotics ER 2 as Data Verifier,2026,M,no
P095,GenAug,2023,M,yes
P096,ROSIE,2023,M,yes
P097,GreenAug,2024,M,no
P098,RoCoDA,2024,D,no
P099,RoboEngine,2025,M,yes
P100,RoboSplat,2025,M,no
P101,RoboVIP,2025,A,no
P102,RoboPearls,2025,M,no
P103,MimicGen,2023,D,yes
P104,DexMimicGen,2024,M,no
P105,SoftMimicGen,2026,M,no
P106,DynaMimicGen,2025,A,no
P107,MoMaGen,2025,M,no
P108,BiDemoSyn,2026,M,no
P109,DemoGen,2025,M,no
P110,IntervenGen,2024,M,no
P111,RoboGen,2024,D,yes
P112,GenSim,2024,M,yes
P113,RoboTwin 2.0,2025,D,no
P114,RoboGene,2026,M,no
P115,HumanoidGen,2026,A,no
P116,CRAFT,2026,M,no
P117,RIGVid,2025,M,no
P118,Video Generators are Robot Policies,2025,M,no
P119,V-Dreamer,2025,A,no
P120,PGDG / Policy-Guided Data Generation,2025,A,no
P121,D-CODA,2025,A,no
P122,Action-View Augmentation,2025,A,yes
P123,NeRF-Based Robot Data Augmentation,2024,A,no
P124,GraspVLA / SynGrasp-1B,2025,M,no
P125,ORV-Data,2026,A,no
P126,Xiaomi-Robotics-U0,2026,D,yes
P127,SIM1,2026,D,no
P128,ABot-PhysWorld,2026,M,no
P129,Qwen-RobotWorld,2026,D,yes
P130,LabVLA / RoboGenesis,2026,M,no
P131,DataLadder,2026,A,no
P132,PointWorld,2026,M,no
P133,ViTacWorld,2026,M,no
P134,RoboCat,2023,D,yes
P135,AutoRT,2024,D,yes
P136,π*0.6 / RECAP,2025,D,yes
P137,ROVE,2026,D,no
P138,Seed2Scale,2026,D,no
P139,DexFlyWheel,2025,D,yes
P140,RISE,2026,M,no
P141,HELP / VLAC-CUT Self-Improvement,2026,M,no
P142,EAP: Entangled Action Pairs,2026,M,no
P143,HERO,2026,M,no
P144,Bootstrapping Robot Skills through Autonomous Data Collection,2026,A,no
