note_id,title,arxiv_id,category,filename,pages,size_mb,sha256,source_url
SUP01,Data Pyramid for Embodied Manipulation,2607.24744,00_field_survey,Data_Pyramid_for_Embodied_Manipulation_2607.24744.pdf,72,12.95,8eeed339a0c930dbae48815fccc991e70d19aa22b0a33ed4164d09e303c84141,https://arxiv.org/abs/2607.24744
SUP03,Robot Learning from Human Videos: A Survey,2604.27621,00_field_survey,Robot_Learning_from_Human_Videos_Survey_2604.27621.pdf,52,13.30,b24016af4d478ec3857b2cb028011e5f4934404320414905372d646c9f22202e,https://arxiv.org/abs/2604.27621
SUP02,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2604.23001,00_field_survey,VLA_Datasets_Benchmarks_Data_Engines_Survey_2604.23001.pdf,17,1.24,fb7a23ade074c143157cda34fe8c5b2f1ec4848066507f64e50d2d3f1a94e7db,https://arxiv.org/abs/2604.23001
P001,Open X-Embodiment / RT-X,2310.08864,01_data_foundations_and_engines,P001_Open_X_Embodiment_RT-X_2310.08864.pdf,12,3.83,13f16aff5afdee583dc25b3c570e9bb0cf6baefb59b539928d919588cd8d9246,https://arxiv.org/abs/2310.08864
P002,DROID,2403.12945,01_data_foundations_and_engines,P002_DROID_2403.12945.pdf,26,9.26,9e40a9c934ce78ea315d2c05593d60f9e18edf6dcd3785cd66439518965c3b07,https://arxiv.org/abs/2403.12945
P003,BridgeData V2,2308.12952,01_data_foundations_and_engines,P003_BridgeData_V2_2308.12952.pdf,15,3.11,aa5fdac48bf9122b22f88150d45575cb0685f2a2f761ca6fc570be743022819b,https://arxiv.org/abs/2308.12952
P004,RH20T,2307.00595,01_data_foundations_and_engines,P004_RH20T_2307.00595.pdf,15,4.79,6156500a1340a2e976681f0f8deea8ce493fb4af227d8a5b2696cb3c384bb755,https://arxiv.org/abs/2307.00595
P007,AXIS,2607.21588,01_data_foundations_and_engines,P007_AXIS_2607.21588.pdf,25,44.89,52bedbf53aefd2499910ee182281d1f72d88578ba9cf8451299d48dd3194050e,https://arxiv.org/abs/2607.21588
P014,UMI: Universal Manipulation Interface,2402.10329,01_data_foundations_and_engines,P014_UMI_2402.10329.pdf,18,7.22,a9452cbaf9f5d2a77d5f8b631632fa7f45ae4bbc32400be1cc939b91a36e1609,https://arxiv.org/abs/2402.10329
P019,RoboTurk,1811.02790,01_data_foundations_and_engines,P019_RoboTurk_1811.02790.pdf,15,3.44,2298863a8e3aa917506ae8583cadc6741a557eb9809f976101a4fd3119c3303d,https://arxiv.org/abs/1811.02790
P022,RoboMimic: What Matters in Learning from Offline Human Demonstrations,2108.03298,01_data_foundations_and_engines,P022_RoboMimic_2108.03298.pdf,36,10.28,18283ff9cbb9645de4ccf32ca2de472f452e89761287e7ed578e3a1066bea5f1,https://arxiv.org/abs/2108.03298
P023,Data Scaling Laws in Imitation Learning for Robotic Manipulation,2410.18647,01_data_foundations_and_engines,P023_Data_Scaling_Laws_2410.18647.pdf,34,27.23,e3ee296bdf1b34dde4816d36207a0b2b496c66ab352299702e9efc8187e7ec07,https://arxiv.org/abs/2410.18647
P026,EgoMimic,2410.24221,01_data_foundations_and_engines,P026_EgoMimic_2410.24221.pdf,12,8.91,a4a95eefba0f1341ef2d86d3fb38247e56fc07b7d4d440fdb4639dba70022ccd,https://arxiv.org/abs/2410.24221
P027,HOP: Human-to-Robot Pretraining with Hand-Object Interaction,2409.08273,01_data_foundations_and_engines,P027_HOP_2409.08273.pdf,17,9.74,f3d37f9cd3b71da684ed7f4db3273d0dcd7de2cd58193c3bc8e6951ff5786696,https://arxiv.org/abs/2409.08273
P046,Data Quality in Imitation Learning,2306.02437,02_data_curation_and_valuation,P046_Data_Quality_in_Imitation_Learning_2306.02437.pdf,18,2.29,a6aded39474c30a47587af315edd99d9684927e1ed9b44c09dcfea4b1d95f6b0,https://arxiv.org/abs/2306.02437
P047,SSDF: Self-Supervised Data Filtering,2401.08957,02_data_curation_and_valuation,P047_SSDF_2401.08957.pdf,8,1.34,3fc0c1e987b3426219ea6a69ad04e23d875bbc0f1a57f8c28d88c8e5acf60fb7,https://arxiv.org/abs/2401.08957
P049,Re-Mix,2408.14037,02_data_curation_and_valuation,P049_Re-Mix_2408.14037.pdf,22,1.38,739449e2336e8abc1c8256c30dd536ed506cb100e6b1ed4aaa3fbc9b35dea34d,https://arxiv.org/abs/2408.14037
P050,Robot Data Curation with Mutual Information Estimators,2502.08623,02_data_curation_and_valuation,P050_Robot_Data_Curation_Mutual_Information_2502.08623.pdf,19,3.72,d4c1a5fcf262c5ce35c3dee85d892f82ff0243bf70dac142e5267704e47f1bdd,https://arxiv.org/abs/2502.08623
P051,Curating Demonstrations Using Online Experience / Demo-SCORE,2503.03707,02_data_curation_and_valuation,P051_Demo_SCORE_2503.03707.pdf,14,4.90,7053780c793ebd76e3508192d57ab6a8f3a325abb1d69c5daa1cf760e26e182b,https://arxiv.org/abs/2503.03707
P053,DataMIL,2505.09603,02_data_curation_and_valuation,P053_DataMIL_2505.09603.pdf,25,4.15,fbe8697db6071d065661a1e5f90dd7f86a9257cad0f8daed6925a63b2075dc97,https://arxiv.org/abs/2505.09603
P054,QoQ: Quality over Quantity,2603.09056,02_data_curation_and_valuation,P054_QoQ_2603.09056.pdf,8,1.25,7a0c36b67a3779cf282fa06c5cdc4b9e0f52ef9d3aa5b28c1c72d2489067563a,https://arxiv.org/abs/2603.09056
P055,ATHENA,2606.16208,02_data_curation_and_valuation,P055_ATHENA_2606.16208.pdf,24,12.46,80ba45e3e49d88530367bb8d7a6d2a38d1e17f283d51a64896093c9de2b77bef,https://arxiv.org/abs/2606.16208
