note_id,title,year,depth,pdf_included
P005,RH20T-P,2025,A,no
P006,AgiBot World / Colosseo,2025–2026,M,no
P008,ABC-130K,2026,A,no
P009,LeRobot Dataset Format,2024–2026,M,no
P010,Robo-DM,2025,A,no
P011,ABot-M0 / UniACT Data Pipeline,2026,D,no
P012,CalibAll / Camera-Frame Action Unification,2025,M,no
P013,UniAct,2025,A,no
P015,DexUMI,2025,M,no
P016,TacUMI,2025,A,no
P017,ActiveUMI,2025,A,no
P018,RealDexUMI,2026,M,no
P020,Cobalt,2026,M,no
P021,YUBI,2025,A,no
P024,What Matters in Large-Scale Robot Datasets / MimicLabs,2025,M,no
P025,High-Precision Imitation Learning Scaling Law,2026,A,no
P028,EgoDex,2025,M,no
P029,ACE-Ego-0,2026,D,no
P030,VidBot,2025,M,no
P031,Human2Robot,2024,M,no
P032,ZeroMimic,2025,A,no
P033,Data Editing from In-the-Wild Human Videos,2025,A,no
P034,RoboWheel,2026,D,no
P035,VISTA,2026,M,no
P036,H-RDT,2025,M,no
P037,HARP-VLA,2026,A,no
P038,iFlyBot-VLA,2025,A,no
P039,DreamDojo,2026,M,no
P040,LDA-1B / EI-30K,2026,D,no
P041,EgoWAM,2026,M,no
P042,AoE: Always-on Egocentric Data Engine,2026,A,no
P043,UniT / Unified Physical Language,2026,M,no
P044,PhysBrain,2025,A,no
P045,PEEK,2025,M,no
P048,"S2I: Segment, Select, and Improve",2024,M,no
P052,CUPID,2025,D,no
P058,PSD Metric for Demonstration Quality,2026,M,no
P059,GiB: Segment-Level Filtering of Non-Expert Demonstrations,2026,A,no
P063,Geometric Entropy for Robot Data,2026,M,no
P064,FAKTUAL,2026,A,no
P065,Quality over Quantity: Contact-Based Curation,2025,M,no
P067,FrameSkip,2026,M,no
P068,HELP / VLAC-CUT,2026,M,no
P069,Collage,2025,M,no
P070,Towards Balanced Behavior Cloning from Imbalanced Demonstrations,2025,M,no
P071,Shortcut Learning in Generalist Robot Policies: Dataset Diversity and Fragmentation,2025,M,no
P072,How to Train Your Robots? Demonstration Collection Factors,2025,A,no
P073,Audit of Robot Data Curation Metrics,2026,M,no
P074,Phase-Localized Curation Does Not Help,2026,A,no
P077,STEER,2025,M,no
P078,Autonomous Improvement of Instruction Following,2024,D,no
P079,CAST,2025,M,no
P080,SPARC,2026,D,no
P081,DeMiAn,2026,M,no
P082,ATLAS,2026,M,no
P083,ViFailback,2026,M,no
P084,Guardian,2026,M,no
P085,InSight,2026,D,no
P086,Learning from Hindsight for Robot Rollouts,2026,M,no
P087,Embodied Chain-of-Thought Corpus,2026,M,no
P088,RoboInter,2026,M,no
P089,MotIF,2024,M,no
P090,PEEK Automatic Annotation Pipeline,2025,M,no
P091,MolmoAct2 / BimanualYAM Curation,2026,A,no
P092,Qwen-RobotManip Behavior Annotation,2026,D,no
P093,LingBot-VLA 2.0 Automated Segmentation,2026,D,no
P094,Gemini Robotics ER 2 as Data Verifier,2026,M,no
P097,GreenAug,2024,M,no
P098,RoCoDA,2024,D,no
P100,RoboSplat,2025,M,no
