source,source_id,title,authors,year,venue,doi,url,query,matched_queries
arXiv,2607.14047v3,"Zero2Skill: Bootstrapping Robot Skills through Autonomous Data Collection, Training, and Deployment",Boyuan Wang; Zhenyuan Zhang; Zhiqin Yang; Peijun Gu; Shuya Wang; Xiaofeng Wang; Xianghui Ze; Yifan Chang; Guosheng Zhao; Jiangnan Shao; Guan Huang; Hengyu Liu; Yonggang Zhang; Wei Xue; Chunyuan Guan; Chenglin Pu; Yike Guo; Xingang Wang; Zheng Zhu,2026,arXiv,,http://arxiv.org/abs/2607.14047v3,"cat:cs.RO AND all:""autonomous data collection""","cat:cs.RO AND all:""autonomous data collection"""
arXiv,2607.11643v1,Xiaomi-Robotics-U0: Unified Embodied Synthesis with World Foundation Model,Xinghang Li; Jun Guo; Qiwei Li; Long Qian; Hang Lai; Yueze Wang; Hongyu Yan; Jiahang Cao; Xi Chen; Jingen Qu; Jiaxi Song; Nan Sun; Hanye Zhao; Futeng Liu; Wanli Peng; Heyun Wang; Yunhong Wang; Caoyu Xia; Jack Zhao; Diyun Xiang; Hangjun Ye; Heng Qu; Huaping Liu; Jason Li,2026,arXiv,,http://arxiv.org/abs/2607.11643v1,"cat:cs.RO AND all:""data engine""","cat:cs.RO AND all:""data engine"""
arXiv,2607.28560v1,X-NavDP: Generalizing Navigation Diffusion Policy to Novel Behavior and Embodiments with Group Q-score Reweighted Matching,Tianyu Yang; Yiming Zeng; Wenzhe Cai; Yuqiang Yang; Jiaqi Peng; Hui Cheng; Jiangmiao Pang; Tai Wang,2026,arXiv,,http://arxiv.org/abs/2607.28560v1,"cat:cs.RO AND (all:""cross-embodiment"" OR all:""action alignment"")","cat:cs.RO AND (all:""cross-embodiment"" OR all:""action alignment"")"
arXiv,2607.13154v2,Worlds in One Demo: A Synthetic Data Engine for Learning Open-World Mobile Manipulation,Lingxiao Guo; Huanyu Li; Guanya Shi,2026,arXiv,,http://arxiv.org/abs/2607.13154v2,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation) || cat:cs.RO AND (all:""cross-embodiment"" OR all:""action alignment"") || cat:cs.RO AND all:""data engine"""
arXiv,2607.18840v1,WorldScape Policy 2.0: Empowering Steerable World Action Modeling with Reasoning-Augmented Memory,Haisheng Su; Zongdai Liu; Xin Jin; Haoxuan Dou; Chengming Hu; Baorun Li; Zhanwang Liu; Ruiyan Xu; Jianjie Fang; Xin Zhang; Zhenjie Yang; Xue Yang; Chen Gao; Junchi Yan; Yong Li; Wei Wu,2026,arXiv,,http://arxiv.org/abs/2607.18840v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation) || cat:cs.RO AND (all:""cross-embodiment"" OR all:""action alignment"")"
arXiv,2607.02431v1,WorldSample: Closed-loop Real-robot RL with World Modelling,Yuquan Xue; Le Xu; Zeyi Liu; Zhenyu Wu; Zhengyi Gu; Xinyang Song; Bofang Jia; Ziwei Wang,2026,arXiv,,http://arxiv.org/abs/2607.02431v1,"cat:cs.RO AND (all:""data augmentation"" OR all:""synthetic demonstrations"")","cat:cs.RO AND (all:""data augmentation"" OR all:""synthetic demonstrations"")"
arXiv,2602.08971v2,WorldArena: A Unified Benchmark for Evaluating Perception and Functional Utility of Embodied World Models,Yu Shang; Zhuohang Li; Yiding Ma; Weikang Su; Xin Jin; Ziyou Wang; Lei Jin; Xin Zhang; Yinzhou Tang; Haisheng Su; Chen Gao; Wei Wu; Xihui Liu; Dhruv Shah; Zhaoxiang Zhang; Zhibo Chen; Jun Zhu; Yonghong Tian; Tat-Seng Chua; Wenwu Zhu; Yong Li,2026,arXiv,,http://arxiv.org/abs/2602.08971v2,"cat:cs.RO AND all:""data engine""","cat:cs.RO AND all:""data engine"""
arXiv,2606.02027v1,World-Task Factorization for Robot Learning,Eduardo Sebastián; Adrian Pfisterer; Vito Mengers; Oliver Brock; Amanda Prorok,2026,arXiv,,http://arxiv.org/abs/2606.02027v1,"cat:cs.RO AND (all:""world model"" AND all:""data generation"")","cat:cs.RO AND (all:""world model"" AND all:""data generation"")"
arXiv,2605.00080v1,World Model for Robot Learning: A Comprehensive Survey,Bohan Hou; Gen Li; Jindou Jia; Tuo An; Xinying Guo; Sicong Leng; Haoran Geng; Yanjie Ze; Tatsuya Harada; Philip Torr; Oier Mees; Marc Pollefeys; Zhuang Liu; Jiajun Wu; Pieter Abbeel; Jitendra Malik; Yilun Du; Jianfei Yang,2026,arXiv,,http://arxiv.org/abs/2605.00080v1,"cat:cs.RO AND (all:""world model"" AND all:""data generation"")","cat:cs.RO AND (all:""world model"" AND all:""data generation"")"
arXiv,2604.01985v2,World Action Verifier: Self-Improving World Models via Forward-Inverse Asymmetry,Yuejiang Liu; Fan Feng; Lingjing Kong; Weifeng Lu; Jinzhou Tang; Kun Zhang; Kevin Murphy; Chelsea Finn; Yilun Du,2026,arXiv,,http://arxiv.org/abs/2604.01985v2,"cat:cs.RO AND (all:""self-improvement"" OR all:""online post-training"")","cat:cs.RO AND (all:""self-improvement"" OR all:""online post-training"")"
