source,source_id,title,authors,year,venue,doi,url,query,matched_queries
arXiv,2604.10982v1,Ψ-Map: Panoptic Surface Integrated Mapping Enables Real2Sim Transfer,Xuan Yu; Yuxuan Xie; Changjian Jiang; Shichao Zhai; Rong Xiong; Yu Zhang; Yue Wang,2026,arXiv,,http://arxiv.org/abs/2604.10982v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2603.28271v1,osmAG-Nav: A Hierarchical Semantic Topometric Navigation Stack for Robust Lifelong Indoor Autonomy,Yongqi Zhang; Jiajie Zhang; Chengqian Li; Fujing Xie; Sören Schwertfeger,2026,arXiv,,http://arxiv.org/abs/2603.28271v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2607.03553v1,iVISION-2DCD: A Long-Term Change Detection Dataset for Large-Scale Outdoor Construction Monitoring,Dayou Mao; Yuchen Lin; Ashkan Ebadi; John Zelek; Alexander Wong; Yuhao Chen,2026,arXiv,,http://arxiv.org/abs/2607.03553v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2606.03787v3,Worth Remembering: Surprise-Gated Robot Episodic Memory,Nicolas Gorlo; Derek K. Wise; Alberto Speranzon; Luca Carlone,2026,arXiv,,http://arxiv.org/abs/2606.03787v3,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2607.13154v2,Worlds in One Demo: A Synthetic Data Engine for Learning Open-World Mobile Manipulation,Lingxiao Guo; Huanyu Li; Guanya Shi,2026,arXiv,,http://arxiv.org/abs/2607.13154v2,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2605.15964v1,WorldVLN: Autoregressive World Action Model for Aerial Vision-Language Navigation,Baining Zhao; Jiacheng Xu; Weicheng Feng; Xin Zhang; Zhaolu Wang; Haoyang Wang; Shilong Ji; Ziyou Wang; Jianjie Fang; Zhiheng Zheng; Weichen Zhang; Yu Shang; Wei Wu; Chen Gao; Xinlei Chen; Yong Li,2026,arXiv,,http://arxiv.org/abs/2605.15964v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2607.18840v1,WorldScape Policy 2.0: Empowering Steerable World Action Modeling with Reasoning-Augmented Memory,Haisheng Su; Zongdai Liu; Xin Jin; Haoxuan Dou; Chengming Hu; Baorun Li; Zhanwang Liu; Ruiyan Xu; Jianjie Fang; Xin Zhang; Zhenjie Yang; Xue Yang; Chen Gao; Junchi Yan; Yong Li; Wei Wu,2026,arXiv,,http://arxiv.org/abs/2607.18840v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2606.24742v1,World Value Models for Robotic Manipulation,Zhihao Wang; Jianxiong Li; Yu Cui; Yuan Gao; Xianyuan Zhan; Junzhi Yu; Xiao Ma,2026,arXiv,,http://arxiv.org/abs/2606.24742v1,"cat:cs.RO AND all:""data quality""","cat:cs.RO AND all:""data quality"""
arXiv,2605.15619v1,Wind-Aware Optimal Trajectory Planning for Efficient Gliding of Fixed-Wing Aerial Systems,Luca Morando; Nishanth Bobbili; Giuseppe Loianno,2026,arXiv,,http://arxiv.org/abs/2605.15619v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
arXiv,2605.15430v1,Where to Perch in a Tree: Vision-Guidance for Tree-Grasping Drones,Alex Dunnett; Leonie Bottomley; Mirko Kovac; Basaran Bahadir Kocer,2026,arXiv,,http://arxiv.org/abs/2605.15430v1,"cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)","cat:cs.RO AND (all:""automatic annotation"" OR all:relabeling OR all:segmentation)"
