source,source_id,title,authors,year,venue,doi,url,query,matched_queries
DBLP,130603,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",Ziyao Wang; Bingying Wang; Hanrong Zhang; Tingting Du; Tianyang Chen; Guoheng Sun; Yexiao He; Zheyu Shen; Wanghao Ye; Ang Li 0005,2026,Trans. Mach. Learn. Res.,,https://openreview.net/forum?id=tAaWFpvnmm,vision language action data engine,vision language action data engine
DBLP,172673,Towards Edge Intelligence via Autonomous Navigation: A Robot-Assisted Data Collection Approach,Tingting Huang; Yingyang Chen; Sixian Qin; Zhijian Lin; Jun Li 0036; Li Wang 0039,2026,ICC Workshops,10.1109/ICCWORKSHOPS63917.2026.11586500,https://doi.org/10.1109/ICCWorkshops63917.2026.11586500,robot autonomous data collection,robot autonomous data collection
DBLP,102570,Autonomous Data Collection via Model-Free Reinforcement Learning Enables Control of Magnetic Soft Robots,Zakir Ullah; Dong Wang 0049; Jinqiang Wang; Zixiao Zhu; Qing Xia; Peter B. Shull,2026,Robotics Auton. Syst.,10.1016/J.ROBOT.2026.105464,https://doi.org/10.1016/j.robot.2026.105464,robot autonomous data collection,robot autonomous data collection
DBLP,648254,RoCoDA: Counterfactual Data Augmentation for Data-Efficient Robot Learning from Demonstrations,Ezra Ameperosa; Jeremy A. Collins; Mrinal Jain; Animesh Garg,2025,ICRA,10.1109/ICRA55743.2025.11128694,https://doi.org/10.1109/ICRA55743.2025.11128694,robot demonstration augmentation,robot demonstration augmentation
DBLP,850538,LLM Trainer: Automated Robotic Data Generating via Demonstration Augmentation using LLMs,Abraham George; Amir Barati Farimani,2025,CoRR,10.48550/ARXIV.2509.20070,https://doi.org/10.48550/arXiv.2509.20070,robot demonstration augmentation,robot demonstration augmentation
DBLP,1180976,So You Think You Can Scale Up Autonomous Robot Data Collection?,Suvir Mirchandani; Suneel Belkhale; Joey Hejna; Evelyn Choi; Md Sazzad Islam; Dorsa Sadigh,2024,CoRL,,https://proceedings.mlr.press/v270/mirchandani25a.html,robot autonomous data collection,robot autonomous data collection
DBLP,1058435,Mixing Left and Right-Hand Driving Data in a Hierarchical Framework With LLM Generation,Jiazhe Guo; Cheng Chang; Zhiheng Li 0001; Li Li 0013,2024,IEEE Robotics Autom. Lett.,10.1109/LRA.2024.3443494,https://doi.org/10.1109/LRA.2024.3443494,robot data mixing,robot data mixing
DBLP,1059045,DaFoEs: Mixing Datasets Towards the Generalization of Vision-State Deep-Learning Force Estimation in Minimally Invasive Robotic Surgery,Mikel De Iturrate Reyzabal; Mingcong Chen; Wei Huang; Sébastien Ourselin; Hongbin Liu 0001,2024,IEEE Robotics Autom. Lett.,10.1109/LRA.2024.3356984,https://doi.org/10.1109/LRA.2024.3356984,robot data mixing,robot data mixing
DBLP,1329890,Autonomous Robotic Platform for Proximal Data Collection Amongst Foliage Utilizing an Anisotropically Flexible Manipulator,Sachintha Balasooriya; Yoshihiro Sato; Takeshi Oishi,2024,SII,10.1109/SII58957.2024.10417644,https://doi.org/10.1109/SII58957.2024.10417644,robot autonomous data collection,robot autonomous data collection
DBLP,1339168,Autonomous Field Navigation of Mobile Robots for Data Collection and Monitoring in Agricultural Crop Fields,Yuan Wei; Kangneoung Lee; Kiju Lee,2024,UR,10.1109/UR61395.2024.10597470,https://doi.org/10.1109/UR61395.2024.10597470,robot autonomous data collection,robot autonomous data collection
DBLP,2435893,Enhancing Door Detection for Autonomous Mobile Robots with Environment-Specific Data Collection,Michele Antonazzi; Matteo Luperto; Nicola Basilico; N. Alberto Borghese,2022,CoRR,10.48550/ARXIV.2203.03959,https://doi.org/10.48550/arXiv.2203.03959,robot autonomous data collection,robot autonomous data collection
DBLP,2648433,Autonomous Data Collection With Timed Communication Constraints for Unmanned Underwater Vehicles,James McMahon; Erion Plaku,2021,IEEE Robotics Autom. Lett.,10.1109/LRA.2021.3060709,https://doi.org/10.1109/LRA.2021.3060709,robot autonomous data collection,robot autonomous data collection
